,,Intracellular concentration (mol/L)Cultivation Biological,Technical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cultivation condition,Biological replica,Technical,Asn,Asp,ATP,cAMP,CDP,2/3-PG,6PG,ADP,aKG,Ala,AMP,Arg,dCDP,dCMP,dCTP,dGDP,cGMP,Cit,CMP,CTP,Cys,dADP,dAMP,dATP,F6P,FAD,Fum,G-/M-1P,dGMP,dGTP,dTDP,dTMP,dTTP,dUMP,"F1,6BP",F1P,GMP,GTP,His,ICit,G6P,GA6P,GAL1P,GDP,GL3P,Gln,Glu,Gly,NAD,NADH,NADP,NADPH,Ile,IMP,ITP,Leu,Lys,M6P,Mal,Met,Thr,Trp,Tyr,UDP,PEP,Phe,Pro,PRPP,R5P,S7P,Ser,Suc,UDP-GlcNac,UMP,UTP,Val
Mineral,Bioreactor,C,1,6.80E-05,9.60E-05,2.50E-03,8.10E-06,7.30E-05,1.90E-04,5.80E-05,5.90E-04,1.40E-04,2.20E-04,3.20E-04,1.10E-04,1.60E-05,3.30E-06,6.60E-05,9.80E-06,1.90E-05,2.70E-04,8.20E-05,2.00E-04,<LOQ,2.80E-05,2.70E-06,9.00E-05,2.60E-04,5.90E-05,2.50E-04,3.20E-05,<LOQ,3.00E-05,2.80E-05,1.10E-03,1.00E-04,3.00E-06,6.60E-04,2.20E-05,1.60E-05,8.30E-04,4.80E-05,4.10E-06,2.90E-04,1.10E-04,7.40E-06,1.80E-04,9.90E-05,2.30E-04,1.30E-03,3.00E-04,7.50E-04,1.70E-04,1.00E-04,5.70E-05,2.40E-05,9.10E-05,<LOQ,9.70E-05,2.90E-04,9.90E-05,2.50E-04,6.00E-05,1.40E-04,2.10E-05,9.40E-05,1.80E-04,1.50E-04,6.80E-05,8.60E-05,9.10E-05,1.10E-04,5.70E-05,1.70E-04,1.70E-03,8.10E-04,2.30E-03,9.90E-04,1.30E-04
Mineral,Bioreactor,C,2,9.70E-05,1.30E-04,2.40E-03,6.40E-06,8.40E-05,2.40E-04,7.50E-05,6.90E-04,1.10E-04,2.50E-04,4.30E-04,1.40E-04,1.70E-05,3.80E-06,8.20E-05,1.10E-05,1.80E-05,3.10E-04,9.50E-05,2.10E-04,<LOQ,3.30E-05,3.50E-06,9.70E-05,3.00E-04,6.10E-05,2.60E-04,2.70E-05,<LOQ,3.60E-05,3.00E-05,1.20E-03,1.10E-04,2.40E-06,1.50E-03,2.90E-05,1.40E-05,8.60E-04,5.00E-05,4.80E-06,2.90E-04,1.50E-04,8.50E-06,2.00E-04,1.10E-04,3.00E-04,1.20E-03,2.70E-04,4.40E-04,1.10E-04,7.60E-05,4.40E-05,2.20E-05,1.10E-04,<LOQ,7.30E-05,3.10E-04,9.30E-05,3.20E-04,6.50E-05,1.70E-04,2.20E-05,9.40E-05,1.80E-04,1.40E-04,5.50E-05,9.00E-05,4.40E-05,1.50E-04,5.50E-05,1.80E-04,1.90E-03,8.60E-04,2.60E-03,9.80E-04,1.10E-04
Mineral,Bioreactor,C,3,7.90E-05,1.30E-04,2.20E-03,1.10E-05,1.00E-04,2.20E-04,5.00E-05,7.60E-04,1.10E-04,3.30E-04,5.00E-04,1.40E-04,1.80E-05,3.80E-06,6.40E-05,1.00E-05,2.50E-05,2.80E-04,8.80E-05,2.00E-04,<LOQ,3.60E-05,4.50E-06,8.10E-05,3.30E-04,5.90E-05,2.30E-04,2.90E-05,<LOQ,2.80E-05,3.70E-05,1.00E-03,9.40E-05,2.60E-06,6.60E-04,2.00E-05,2.00E-05,7.90E-04,6.30E-05,2.90E-06,4.40E-04,1.30E-04,6.80E-06,2.00E-04,1.30E-04,3.00E-04,1.70E-03,3.60E-04,6.90E-04,1.50E-04,1.00E-04,5.60E-05,3.60E-05,1.30E-04,<LOQ,1.30E-04,3.70E-04,9.90E-05,2.80E-04,6.90E-05,1.90E-04,2.50E-05,1.10E-04,2.40E-04,1.30E-04,8.80E-05,9.80E-05,7.60E-05,1.40E-04,5.70E-05,2.20E-04,1.40E-03,7.30E-04,2.20E-03,9.40E-04,1.60E-04
Mineral,Bioreactor,C,4,9.00E-05,1.40E-04,2.50E-03,8.50E-06,9.30E-05,2.20E-04,6.50E-05,7.40E-04,1.10E-04,2.90E-04,4.70E-04,1.30E-04,1.60E-05,3.30E-06,7.30E-05,8.60E-06,2.10E-05,2.90E-04,9.20E-05,2.20E-04,<LOQ,3.40E-05,2.90E-06,9.20E-05,2.90E-04,6.40E-05,2.40E-04,3.00E-05,<LOQ,3.00E-05,3.40E-05,1.20E-03,1.10E-04,3.00E-06,8.10E-04,2.40E-05,1.50E-05,8.70E-04,6.00E-05,3.50E-06,3.20E-04,1.30E-04,7.70E-06,1.80E-04,1.20E-04,3.30E-04,1.80E-03,3.50E-04,6.70E-04,1.40E-04,1.10E-04,5.10E-05,2.70E-05,1.30E-04,<LOQ,1.20E-04,3.30E-04,1.00E-04,2.90E-04,6.20E-05,1.90E-04,2.60E-05,1.20E-04,2.20E-04,1.20E-04,8.00E-05,9.60E-05,1.00E-04,1.50E-04,6.00E-05,2.30E-04,1.70E-03,8.70E-04,2.50E-03,1.10E-03,1.50E-04
Mineral,Bioreactor,C,5,1.20E-04,1.90E-04,2.70E-03,,9.60E-05,2.60E-04,6.60E-05,7.30E-04,1.30E-04,5.50E-04,4.30E-04,2.30E-04,1.70E-05,3.50E-06,8.30E-05,8.20E-06,,3.70E-04,9.30E-05,2.50E-04,<LOQ,3.30E-05,2.90E-06,9.90E-05,3.40E-04,,2.60E-04,3.40E-05,<LOQ,3.30E-05,3.50E-05,1.20E-03,1.20E-04,3.50E-06,1.00E-03,2.70E-05,1.40E-05,9.60E-04,9.10E-05,5.40E-06,3.40E-04,1.30E-04,9.50E-06,1.70E-04,1.30E-04,3.70E-04,2.20E-03,5.30E-04,,,,,9.20E-05,1.30E-04,<LOQ,2.50E-04,5.10E-04,1.00E-04,3.90E-04,8.50E-05,2.60E-04,3.50E-05,1.50E-04,2.30E-04,1.40E-04,1.40E-04,1.40E-04,7.80E-05,1.40E-04,6.10E-05,3.30E-04,1.90E-03,9.10E-04,2.60E-03,1.30E-03,2.70E-04
Mineral,Bioreactor,C,6,1.20E-04,1.90E-04,2.50E-03,,9.80E-05,2.20E-04,6.20E-05,7.30E-04,1.20E-04,4.10E-04,4.70E-04,1.60E-04,1.60E-05,3.50E-06,7.60E-05,7.60E-06,,2.80E-04,9.40E-05,2.30E-04,<LOQ,3.00E-05,3.20E-06,9.10E-05,2.70E-04,,2.20E-04,3.00E-05,<LOQ,2.90E-05,3.60E-05,1.20E-03,1.10E-04,3.00E-06,8.00E-04,2.20E-05,1.50E-05,8.60E-04,8.20E-05,3.90E-06,2.90E-04,1.10E-04,7.30E-06,1.60E-04,1.10E-04,4.40E-04,2.30E-03,5.00E-04,,,,,3.40E-05,1.30E-04,<LOQ,1.60E-04,4.30E-04,1.00E-04,2.70E-04,8.30E-05,2.60E-04,3.30E-05,1.60E-04,2.30E-04,1.20E-04,1.20E-04,1.40E-04,8.60E-05,1.40E-04,6.00E-05,3.40E-04,1.70E-03,8.80E-04,2.50E-03,1.20E-03,2.00E-04
Mineral,Bioreactor,C,7,9.60E-05,1.60E-04,2.20E-03,,1.60E-04,2.40E-04,6.00E-05,9.10E-04,1.30E-04,3.50E-04,6.70E-04,1.30E-04,2.90E-05,4.80E-06,6.50E-05,1.20E-05,,2.60E-04,1.30E-04,1.90E-04,<LOQ,5.20E-05,4.50E-06,8.10E-05,2.60E-04,,2.40E-04,2.90E-05,<LOQ,2.40E-05,5.90E-05,1.20E-03,9.90E-05,3.50E-06,7.90E-04,2.10E-05,2.90E-05,7.40E-04,6.90E-05,3.20E-06,2.90E-04,1.30E-04,8.60E-06,2.40E-04,1.20E-04,3.70E-04,2.10E-03,4.20E-04,,,,,2.90E-05,1.90E-04,<LOQ,1.40E-04,3.40E-04,9.00E-05,3.00E-04,6.60E-05,2.10E-04,3.20E-05,1.40E-04,4.00E-04,1.20E-04,1.00E-04,1.10E-04,8.20E-05,1.60E-04,6.30E-05,3.10E-04,1.60E-03,8.30E-04,2.40E-03,1.00E-03,1.80E-04
Mineral,Bioreactor,C,8,1.40E-04,2.10E-04,3.00E-03,,1.30E-04,3.10E-04,8.20E-05,9.10E-04,1.20E-04,4.20E-04,5.90E-04,1.50E-04,2.10E-05,3.90E-06,8.70E-05,8.60E-06,,3.70E-04,1.10E-04,2.80E-04,<LOQ,3.90E-05,3.50E-06,1.10E-04,3.50E-04,,2.60E-04,3.80E-05,<LOQ,3.30E-05,4.50E-05,1.40E-03,1.30E-04,3.60E-06,1.20E-03,3.10E-05,1.70E-05,9.80E-04,7.20E-05,3.80E-06,4.10E-04,1.90E-04,1.10E-05,1.90E-04,1.50E-04,5.80E-04,2.60E-03,4.40E-04,,,,,2.60E-05,1.60E-04,<LOQ,1.40E-04,3.80E-04,1.20E-04,4.10E-04,7.20E-05,2.50E-04,3.60E-05,1.60E-04,2.90E-04,1.40E-04,1.10E-04,1.30E-04,1.40E-04,1.90E-04,7.00E-05,2.70E-04,2.10E-03,9.40E-04,2.90E-03,1.40E-03,2.00E-04
Mineral,Bioreactor,C,9,1.30E-04,2.20E-04,2.90E-03,,1.00E-04,3.20E-04,8.50E-05,7.60E-04,9.70E-05,3.70E-04,4.60E-04,1.40E-04,1.80E-05,3.20E-06,8.30E-05,9.10E-06,,3.30E-04,9.40E-05,2.50E-04,<LOQ,3.40E-05,2.60E-06,9.90E-05,2.90E-04,,2.40E-04,3.40E-05,<LOQ,3.40E-05,3.90E-05,1.20E-03,1.30E-04,3.30E-06,1.60E-03,3.50E-05,1.30E-05,9.30E-04,8.30E-05,3.60E-06,3.40E-04,2.00E-04,8.30E-06,1.60E-04,1.30E-04,5.50E-04,2.30E-03,4.50E-04,,,,,2.60E-05,1.40E-04,<LOQ,1.20E-04,3.40E-04,9.80E-05,3.60E-04,6.70E-05,2.50E-04,3.30E-05,1.40E-04,2.30E-04,1.30E-04,8.80E-05,1.30E-04,1.40E-04,1.80E-04,6.50E-05,3.40E-04,1.70E-03,8.20E-04,2.90E-03,1.20E-03,1.80E-04
Mineral,Bioreactor,C,10,1.50E-04,2.30E-04,3.00E-03,,1.10E-04,3.40E-04,1.00E-04,8.60E-04,1.30E-04,4.00E-04,5.50E-04,1.70E-04,1.80E-05,2.70E-06,9.10E-05,8.80E-06,,3.40E-04,1.00E-04,2.70E-04,<LOQ,3.80E-05,3.00E-06,1.10E-04,3.20E-04,,2.60E-04,3.50E-05,<LOQ,3.60E-05,3.90E-05,1.30E-03,1.40E-04,3.90E-06,1.90E-03,3.70E-05,1.30E-05,1.00E-03,6.80E-05,4.40E-06,3.90E-04,2.10E-04,9.40E-06,1.70E-04,1.30E-04,5.60E-04,2.60E-03,4.30E-04,,,,,2.80E-05,1.50E-04,<LOQ,1.20E-04,3.80E-04,1.10E-04,4.60E-04,7.10E-05,2.50E-04,3.10E-05,1.60E-04,2.40E-04,1.30E-04,9.40E-05,1.40E-04,1.40E-04,2.10E-04,7.20E-05,2.50E-04,2.00E-03,8.70E-04,3.10E-03,1.30E-03,1.60E-04
Mineral,Shake flask,A,1,1.10E-04,2.40E-04,2.90E-03,2.20E-05,1.60E-04,3.30E-04,9.80E-05,1.00E-03,1.20E-04,3.50E-04,7.10E-04,1.60E-04,3.00E-05,6.80E-06,7.60E-05,1.40E-05,3.60E-05,1.30E-04,1.40E-04,2.20E-04,<LOQ,5.20E-05,7.00E-06,9.90E-05,5.80E-04,8.50E-05,2.50E-04,2.70E-05,<LOQ,4.00E-05,5.10E-05,1.10E-03,1.10E-04,2.50E-06,1.30E-03,3.10E-05,4.60E-05,1.00E-03,6.50E-05,1.70E-06,7.20E-04,2.00E-04,9.70E-06,2.30E-04,2.00E-04,6.40E-04,2.70E-03,4.00E-04,5.70E-04,4.40E-04,2.10E-04,8.10E-05,2.30E-05,2.20E-04,<LOQ,8.10E-05,3.10E-04,1.50E-04,3.60E-04,6.50E-05,2.40E-04,2.20E-05,1.50E-04,3.20E-04,8.00E-05,5.50E-05,8.80E-05,1.20E-04,2.20E-04,6.90E-05,2.70E-04,1.60E-03,7.00E-04,2.90E-03,1.00E-03,1.60E-04
Mineral,Shake flask,A,2,1.10E-04,1.90E-04,3.50E-03,2.20E-05,1.70E-04,3.80E-04,1.20E-04,1.20E-03,1.60E-04,3.80E-04,6.40E-04,1.50E-04,3.00E-05,5.40E-06,8.30E-05,1.20E-05,3.50E-05,1.80E-04,1.30E-04,2.60E-04,<LOQ,5.60E-05,6.00E-06,1.20E-04,4.90E-04,9.00E-05,2.50E-04,3.70E-05,<LOQ,4.20E-05,5.60E-05,1.30E-03,1.30E-04,2.70E-06,1.30E-03,3.00E-05,3.40E-05,1.20E-03,6.80E-05,2.50E-06,5.70E-04,2.20E-04,1.20E-05,2.30E-04,1.40E-04,5.90E-04,2.70E-03,4.10E-04,7.00E-04,5.20E-04,2.20E-04,8.50E-05,2.10E-05,2.30E-04,<LOQ,8.70E-05,3.40E-04,1.60E-04,3.80E-04,7.10E-05,2.50E-04,2.30E-05,1.60E-04,3.60E-04,1.10E-04,6.30E-05,9.70E-05,8.40E-05,2.30E-04,8.60E-05,2.90E-04,1.80E-03,8.00E-04,3.30E-03,1.30E-03,1.70E-04
Mineral,Shake flask,A,3,1.00E-04,2.30E-04,2.90E-03,2.60E-05,1.80E-04,3.50E-04,9.20E-05,1.30E-03,1.60E-04,4.40E-04,9.00E-04,1.60E-04,3.40E-05,9.40E-06,7.10E-05,1.60E-05,4.50E-05,1.70E-04,1.80E-04,2.20E-04,<LOQ,6.70E-05,7.90E-06,1.00E-04,9.90E-04,8.80E-05,2.60E-04,2.80E-05,<LOQ,3.40E-05,6.70E-05,1.20E-03,1.10E-04,2.10E-06,9.00E-04,2.50E-05,7.20E-05,1.00E-03,7.80E-05,2.10E-06,1.20E-03,1.90E-04,1.10E-05,2.70E-04,2.40E-04,5.90E-04,2.80E-03,4.70E-04,6.60E-04,5.10E-04,2.40E-04,8.70E-05,3.10E-05,2.80E-04,<LOQ,1.10E-04,3.60E-04,1.90E-04,4.10E-04,7.10E-05,2.50E-04,2.60E-05,1.60E-04,4.20E-04,1.10E-04,7.40E-05,1.00E-04,6.90E-05,2.10E-04,7.90E-05,3.40E-04,1.70E-03,6.90E-04,2.90E-03,1.10E-03,1.80E-04
Mineral,Shake flask,A,4,9.30E-05,2.10E-04,2.40E-03,2.10E-05,2.40E-04,4.40E-04,9.90E-05,1.40E-03,1.40E-04,3.80E-04,1.40E-03,1.50E-04,4.70E-05,1.30E-05,6.60E-05,2.50E-05,3.60E-05,1.60E-04,2.30E-04,1.80E-04,<LOQ,8.20E-05,1.30E-05,8.90E-05,7.10E-04,8.60E-05,2.70E-04,2.80E-05,<LOQ,3.20E-05,9.70E-05,1.30E-03,1.10E-04,2.70E-06,1.30E-03,2.90E-05,1.20E-04,9.40E-04,6.80E-05,1.70E-06,9.70E-04,1.90E-04,9.30E-06,3.90E-04,3.30E-04,5.80E-04,2.50E-03,4.20E-04,6.70E-04,4.80E-04,2.50E-04,8.00E-05,2.40E-05,3.20E-04,<LOQ,9.00E-05,3.50E-04,1.80E-04,4.00E-04,6.70E-05,2.30E-04,2.30E-05,1.60E-04,6.10E-04,1.40E-04,5.70E-05,9.50E-05,7.80E-05,2.70E-04,8.30E-05,3.20E-04,1.90E-03,8.10E-04,3.10E-03,9.30E-04,1.60E-04
Mineral,Shake flask,B,1,8.70E-05,1.60E-04,3.20E-03,2.20E-05,1.40E-04,3.40E-04,7.20E-05,1.00E-03,1.00E-04,2.90E-04,5.00E-04,1.50E-04,2.60E-05,4.70E-06,7.80E-05,1.20E-05,3.90E-05,2.70E-04,1.20E-04,2.30E-04,<LOQ,4.20E-05,5.10E-06,1.10E-04,4.20E-04,7.70E-05,2.50E-04,3.10E-05,<LOQ,3.90E-05,4.60E-05,1.20E-03,1.20E-04,3.00E-06,1.00E-03,2.30E-05,3.40E-05,1.10E-03,5.70E-05,2.70E-06,5.30E-04,2.00E-04,9.50E-06,2.10E-04,1.60E-04,4.30E-04,2.00E-03,3.60E-04,5.50E-04,3.60E-04,1.80E-04,5.90E-05,1.90E-05,2.20E-04,<LOQ,8.70E-05,3.10E-04,1.20E-04,2.80E-04,6.40E-05,1.90E-04,1.90E-05,1.40E-04,3.00E-04,1.30E-04,5.20E-05,9.30E-05,6.00E-05,2.00E-04,6.70E-05,2.70E-04,1.50E-03,7.60E-04,2.90E-03,1.20E-03,1.60E-04
Mineral,Shake flask,B,2,8.40E-05,1.60E-04,2.60E-03,2.60E-05,1.60E-04,2.90E-04,8.40E-05,1.00E-03,1.20E-04,2.80E-04,7.70E-04,1.30E-04,3.10E-05,7.80E-06,6.60E-05,1.20E-05,5.00E-05,1.50E-04,1.50E-04,1.80E-04,<LOQ,5.80E-05,8.90E-06,9.20E-05,6.90E-04,7.90E-05,2.40E-04,2.60E-05,<LOQ,3.10E-05,5.90E-05,1.20E-03,1.00E-04,2.80E-06,8.30E-04,2.20E-05,5.70E-05,8.80E-04,5.40E-05,1.70E-06,8.90E-04,1.90E-04,8.20E-06,2.30E-04,2.20E-04,4.60E-04,2.00E-03,3.30E-04,5.50E-04,4.00E-04,1.60E-04,9.20E-05,1.50E-05,2.30E-04,<LOQ,7.30E-05,3.00E-04,1.40E-04,3.00E-04,5.80E-05,1.90E-04,1.80E-05,1.40E-04,3.90E-04,9.80E-05,4.90E-05,7.90E-05,3.90E-05,2.10E-04,6.60E-05,2.30E-04,1.40E-03,7.10E-04,2.80E-03,9.90E-04,1.30E-04
